Survey Identifier Position Z mu SFR N_CC N_Ia
SLACSJ 290055 002907.77005550.50 0.93 23 5.3 0.019 0.0023
SLACSJ 370942 003753.22094220.14 0.63 6 6.3 0.027 0.0035
SLACSJ 440113 004402.90011312.50 0.2 2 2.5 0.014 0.0022
SLACSJ 1091500 010933.74150032.50 0.52 2 6.1 0.028 0.0038
SLACSJ 1570056 015758.94005626.10 0.92 2 83.9 0.305 0.0368
SLACSJ 2160813 021652.53081345.44 0.52 3 19.6 0.09 0.0121
SLACSJ 2520039 025245.21003958.40 0.98 16 19.2 0.068 0.008
SLACSJ 3300020 033012.14002051.90 1.07 4 98.3 0.332 0.0387
SLACSJ 4050455 040535.42045552.40 0.81 16 2.1 0.008 0.001
SLACSJ 7283835 072804.95383525.70 0.69 10 2.8 0.012 0.0015
SLACSJ 7373216 073728.44321618.66 0.58 14 4.6 0.02 0.0027
SLACSJ 8222652 082242.32265243.50 0.59 7 3.2 0.014 0.0018
SLACSJ 9034116 090315.19411609.10 1.06 8 26.9 0.091 0.0106
SLACSJ 9120029 091205.31002901.18 0.32 6 2.5 0.013 0.0019
SLACSJ 9350003 093543.93000334.80 0.47 3 6.9 0.033 0.0045
SLACSJ 9360913 093600.77091335.80 0.59 7 3.0 0.013 0.0018
SLACSJ 9461006 094656.68100652.80 0.61 18 4.6 0.02 0.0026
SLACSJ 9550101 095519.72010144.40 0.32 4 2.1 0.011 0.0016
SLACSJ 9565100 095629.78510006.39 0.47 8 2.9 0.014 0.0019
SLACSJ 9590410 095944.07041017.00 0.54 5 4.9 0.023 0.003
SLACSJ 9594416 095900.96441639.40 0.53 9 1.9 0.009 0.0011
SLACSJ 10163859 101622.86385903.30 0.44 5 1.6 0.008 0.001
SLACSJ 10201122 102026.54112241.10 0.55 6 3.3 0.015 0.0019
SLACSJ 10290420 102922.94042001.80 0.62 4 7.6 0.033 0.0043
SLACSJ 10325322 103235.84532234.90 0.33 3 6.0 0.032 0.0045
SLACSJ 11005329 110024.39532913.71 0.86 13 30.7 0.116 0.0142
SLACSJ 11035322 110308.21532228.20 0.74 3 76.3 0.308 0.0388
SLACSJ 11065228 110646.16522837.70 0.41 25 2.3 0.011 0.0016
SLACSJ 11120826 111250.60082610.40 0.63 4 32.0 0.137 0.0179
SLACSJ 11421001 114257.35100111.80 0.5 3 5.1 0.024 0.0032
SLACSJ 11430144 114329.64014430.00 0.4 4 16.6 0.083 0.0116
SLACSJ 11534612 115310.79461205.30 0.88 10 7.8 0.029 0.0035
SLACSJ 12040358 120444.07035806.39 0.63 9 6.9 0.03 0.0039
SLACSJ 12054910 120540.44491029.38 0.48 13 2.7 0.013 0.0017
SLACSJ 12136708 121340.58670829.00 0.64 8 7.4 0.032 0.0041
SLACSJ 12500523 125028.26052349.07 0.8 10 17.6 0.069 0.0086
SLACSJ 12510208 125135.71020805.17 0.78 4 20.4 0.08 0.01
SLACSJ 14165136 141622.34513630.40 0.81 4 54.0 0.209 0.0259
SLACSJ 14206019 142015.85601914.80 0.54 13 3.9 0.018 0.0024
SLACSJ 14304105 143004.10410557.10 0.58 6 18.5 0.082 0.0109
SLACSJ 14326317 143213.34631703.80 0.66 4 45.3 0.19 0.0245
SLACSJ 14360000 143627.54000029.10 0.8 4 18.9 0.073 0.0091
SLACSJ 14430304 144319.62030408.25 0.42 7 0.9 0.005 0.0006
SLACSJ 14510239 145128.19023936.40 0.52 11 3.3 0.015 0.0021
SLACSJ 15253327 152506.70332747.40 0.72 4 23.6 0.096 0.0122
SLACSJ 15385817 153812.94581709.69 0.53 8 16.5 0.075 0.0101
SLACSJ 16213931 162132.99393144.60 0.6 8 13.5 0.059 0.0077
SLACSJ 16270053 162746.45005357.56 0.52 20 1.3 0.006 0.0008
SLACSJ 16304520 163028.16452036.28 0.79 9 16.7 0.065 0.0081
SLACSJ 16364707 163602.62470729.57 0.67 8 2.3 0.01 0.0012
SLACSJ 22380754 223840.20075456.05 0.71 12 7.4 0.03 0.0039
SLACSJ 23000022 230053.14002237.95 0.46 12 0.7 0.004 0.0005
SLACSJ 23031422 230321.72142217.91 0.52 8 1.6 0.007 0.001
SLACSJ 23210939 232120.93093910.27 0.53 12 6.7 0.031 0.0041
S4TMJ 1431006 014356.58100633.70 1.1 3 159.5 0.531 0.0614
S4TMJ 1590006 015930.14000612.40 0.75 6 5.2 0.021 0.0026
S4TMJ 3240045 032415.50004505.50 0.92 14 2.9 0.01 0.0013
S4TMJ 3240110 032454.50011029.10 0.62 4 3.5 0.015 0.002
S4TMJ 7533416 075346.21341633.60 0.96 27 11.2 0.04 0.0048
S4TMJ 7541927 075428.52192728.10 0.74 5 17.9 0.072 0.0091
S4TMJ 7571956 075748.99195616.30 0.83 9 28.4 0.108 0.0134
S4TMJ 8472348 084727.69234819.50 0.53 17 0.8 0.004 0.0005
S4TMJ 8510505 085141.89050507.00 0.64 6 8.3 0.036 0.0046
S4TMJ 9203028 092048.28302818.40 0.39 8 1.1 0.006 0.0008
S4TMJ 9553014 095557.49301450.90 0.47 4 1.8 0.009 0.0012
S4TMJ 10103124 101026.80312417.60 0.42 4 4.9 0.024 0.0033
S4TMJ 10313026 103121.01302658.00 0.75 5 20.0 0.08 0.0101
S4TMJ 10403626 104058.50362628.60 0.28 3 0.8 0.004 0.0006
S4TMJ 10410112 104122.85011224.20 0.22 5 0.3 0.002 0.0002
S4TMJ 10481313 104809.40131352.90 0.67 4 18.3 0.077 0.0099
S4TMJ 10514439 105109.41443908.51 0.54 3 17.3 0.079 0.0105
S4TMJ 10564141 105657.61414114.60 0.83 10 6.2 0.024 0.0029
S4TMJ 11011523 110113.13152339.60 0.52 5 3.5 0.016 0.0022
S4TMJ 11272312 112738.70231244.40 0.36 8 4.2 0.022 0.003
S4TMJ 11371818 113728.61181812.40 0.46 10 3.7 0.018 0.0024
S4TMJ 11422509 114238.23250905.50 0.66 18 1.6 0.007 0.0009
S4TMJ 11440436 114440.13043650.50 0.26 5 1.5 0.008 0.0012
S4TMJ 12132930 121303.72293022.40 0.6 21 2.0 0.009 0.0011
S4TMJ 13010834 130126.88083425.20 0.53 9 5.8 0.026 0.0035
S4TMJ 13301750 133031.40175040.50 0.37 4 1.9 0.009 0.0013
S4TMJ 14332835 143351.63283516.40 0.41 10 2.2 0.011 0.0015
S4TMJ 15413642 154122.27364231.70 0.74 16 6.9 0.028 0.0035
S4TMJ 15432202 154339.94220223.30 0.4 3 6.7 0.033 0.0047
S4TMJ 15502020 155010.62202013.50 0.35 2 7.2 0.038 0.0053
S4TMJ 15533004 155316.14300425.70 0.57 5 5.5 0.024 0.0032
S4TMJ 16072147 160740.50214711.00 0.49 2 4.6 0.022 0.0029
S4TMJ 16331441 163344.16144154.90 0.58 19 2.6 0.011 0.0015
S4TMJ 23090039 230946.36003912.90 1.0 4 46.1 0.161 0.019
BELLSJ 7474448 074734.75444859.30 0.9 26 1.2 0.004 0.0005
BELLSJ 7475055 074724.12505537.50 0.9 3 81.6 0.301 0.0365
BELLSJ 8014727 080105.30472749.61 1.52 4 229.8 0.639 0.0682
BELLSJ 8305116 083049.73511631.80 1.33 6 134.0 0.402 0.0444
BELLSJ 9440147 094427.47014742.40 1.18 5 34.5 0.111 0.0126
BELLSJ 11590007 115944.63000728.20 1.35 8 81.4 0.243 0.0268
